trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-164.35866933816453,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-168.79793967629374,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-57.80632811768049,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",35,11,-135.13699267456033,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-163.22226634598223,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,9,-59.51874794145702,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-148.47712477600948,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-58.232201606425,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-17.72328503610118,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-235.6294348422081,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,15,-65.68234223351351,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",35,13,-83.5321006030756,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,20,-4.292133311200998,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-64.57494638194835,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-152.4171343339798,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-159.19546267538755,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-149.59851407867285,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-157.3624504340031,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",35,0,-180.10490187398466,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-168.683206301249,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-1.6318807324674525,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-178.73970085935724,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-119.43752000249862,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-87.80950407804028,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,7,1.709577628936482,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-46.55267888035327,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-37.08190016672945,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-15.727213192400368,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-20.225042096031398,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-124.56087922284993,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",35,7,-132.2945161218276,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",25,15,-44.5421463361947,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-26.21710486490316,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,17.39965804901609,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-92.3265748289891,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-152.59016319629018,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",30,17,-24.743573970099355,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-38.37434516729745,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-41.55449035513846,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",30,16,-28.766206929721015,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-42.445002995122444,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-75.39387595149208,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,0,-189.91096507684026,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-56.058407358644224,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,15,1.9812854594684643,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",30,4,-40.848724715387256,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",30,12,-6.215017581740737,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,10,-14.460506411572165,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,0,-112.48484784372269,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,5.325552939475791,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,2,-3.4113606360555506,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,6,-15.815430274943683,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-6.596064517641915,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",30,12,1.5105566121726737,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,11,-35.693411671418694,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,0,-27.569157566877497,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,0,-43.38212550166443,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",30,0,-95.53379501692893,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,0,-103.50086187216388,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-32.232816807012355,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-122.56255685988947,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-46.26860936407861,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,20,8.204747282284783,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,18,-18.942280995448954,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,9,6.434688419815947,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,0,-18.68336299365179,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-5.413559742265054,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,14,-3.229500461055536,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-151.58833372634749,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,11,-28.94183519047226,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-32.00564691515972,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,14,-15.539582335653845,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,22,-37.32406104646647,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,12,15.003637981302642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,14,3.0134966317531777,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,17,4.495755130163479,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,0,14.560364921575436,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,9,-1.127172685037917,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,0,-107.6597321983868,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,0,-47.17920270237574,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,1,-62.575053238897574,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,13,19.34645986415723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,12,7.84621719025931,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,8,-11.789889722544437,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,14,12.24171179197119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,12,13.463587572836548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,5,-15.965327776066246,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,14,0.7618027192973735,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,13,3.648703549911695,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,11,0.25288801097462077,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",35,13,-63.475777342519855,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,16,8.345244223680947,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",30,7,-46.39458406127929,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,0,-139.56987050186174,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",30,0,-32.07014677844874,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,0,6.735413999697326,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,0,-15.582410804815385,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,1,10.7282895074787,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",35,5,-4.2098211360142805,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,8,-36.905699853426334,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
